OBJECTID,TRACT,SUM_POPULATION,ShapeSTArea,ShapeSTLength
326,48029191202,5345,32968563.2441406,26566.3430195919
327,48029191303,1561,25059310.3789062,21075.3712252092
328,48029191304,3054,30517122.4609375,23577.042230801
329,48029191405,7619,94114187.3203125,60087.5532399249
330,48029191406,6468,50862151.1894531,32486.9748106353
331,48029191408,2989,7809524.86132812,11921.6288039891
332,48029191409,5906,17276289.703125,16468.6238621053
333,48029191410,5491,16823001.5761719,17261.7619952362
334,48029191411,4434,22233047.6972656,22082.6760015716
335,48029191412,2313,21989711.6210938,23211.1335622559
336,48029191413,6032,39736592.3203125,31009.6569900246
337,48029191503,5216,60687975.9511719,35724.532138503
338,48029191504,2412,55440768.2695312,34361.3439364043
339,48029191505,2079,26176066.1816406,22238.0521252331
340,48029191506,4842,40644051.4257812,32415.0451999498
341,48029191701,1558,66684865.1425781,37486.3609950656
342,48029191702,7064,87309785.546875,51904.5193108722
343,48029191804,6322,322255990.326172,105572.43681602
344,48029191806,8005,113113504.837891,48184.9300671546
345,48029191807,3952,296088054.539062,118454.641556744
346,48029191808,3618,70288102.2773438,35380.0767042436
347,48029191809,5467,83104445.0839844,52825.9869971582
348,48029191810,5391,46651895.2089844,29584.3026002668
349,48029191811,4339,65591320.8632812,37564.573055106
350,48029191812,3728,39212304.7226562,27061.9793687328
351,48029191813,6742,30431154.8535156,26077.512626554
352,48029191814,4536,97465387.6796875,41279.1960713586
353,48029191815,5292,27433485.6347656,23207.7085630389
354,48029191816,2761,31353671.4414062,22637.4392312853
355,48029191817,9732,138816290.492188,49594.8560973101
356,48029191900,4922,35957201.9511719,23376.9652922356
357,48029192000,5244,55015508.5117188,43703.4682485328
358,48029192100,2077,31886343.6894531,30346.844287509
359,48029192200,1264,161004633.201172,65374.6451894773
360,48029192300,4448,66679861.796875,40938.915195889
361,48029980001,4,1366623797.16602,183227.444667664
362,48029980002,4,16711355.3984375,18447.1971027342
363,48029980003,1802,168191787.597656,53282.8415823561
364,48029980004,0,105346951.414062,49901.0486816325
365,48029980005,25,425592558.066406,152309.336353117
366,48029980100,301,155794844.722656,71572.4385039939
